"","Female_18over_pt","Pop_20_24_18over_pt","Pop_25_44_18over_pt","Pop_45_64_18over_pt","Pop_65_84_18over_pt","Pop_85over_18over_pt","Hispanic_pt","NH_White_pt","NH_Black_pt","EduLHigh_18over_pt","Poverty_18over_pt","Insured_19over_pt","MHI","CHD","CSMOKING","BPHIGH","HIGHCHOL","OBESITY","DIABETES","Latitude","Longitude","Metric_2.5km","Metric_5km","Metric_11.1km"
"8997",50.11435832,5.641677255,29.88564168,35.34942821,21.880559083,3.989834816,7.014067763,88.42876957,2.338022588,15.04447268,9.936467598,86.47166362,55944,8.5,20.8,38.5,39,35.9,12.9,31.48452,-94.412,0,0,0
"8998",48.74429224,9.779299848,34.47488584,32.91476408,18.721461189,0.494672755,39.09833905,57.79066702,2.293698919,26.48401826,11.71993912,76.73516867,46085,8.1,24.8,36.3,37.1,40.2,14,32.2311,-96.40476,0,0,0
"8999",49.68123862,8.424408015,32.12659381,36.36156648,19.216757745,1.707650273,21.74663445,53.86606835,22.98929928,18.76138434,18.80692168,85.69788797,51630,7.9,21.1,37.7,36.1,38.8,14.3,32.15147,-96.49455,0,0,0
"9000",51.8213866,5.724357898,32.75138493,32.23098875,23.11566225,3.122377035,27.04979879,58.71478873,10.6639839,21.72234346,18.98041983,81.36258249,49138,8.9,20.9,37.9,37.6,37.5,14.2,32.10951,-96.5964,0,0,0
"9001",52.76172126,6.133590238,23.4746307,38.66409762,24.470134879,4.335260116,7.901710431,82.67887256,3.637677668,17.75850996,14.0655106,84.99344692,51797,8.6,21.1,38.9,39.5,35.9,13.2,32.04325,-96.74433,0,0,0
"9002",56.06864275,4.96099844,29.82839314,31.91887676,20.187207489,5.210608424,33.63342567,42.33610342,18.32871653,20.96723869,10.20280811,82.5,37437,8.8,18.5,40.4,38.7,35.6,13.7,32.10234,-96.47996,0,0,0
"9003",50.23006135,10.23773006,25.88190184,33.28220859,23.773006132,4.754601227,12.34196267,64.62974112,22.3359422,12.07822086,19.46624804,74.38735178,44574,10.3,21.9,43.3,40.5,40.2,17,32.1034,-96.20579,0,0,0
"9004",54.02635432,4.221571498,25.40263543,35.9443631,26.23230844,2.70863836,5.042781722,69.57946477,18.24139814,15.4465593,15.27574427,88.65514651,49602,8.3,20.7,40,38.2,38.8,14.9,31.99776,-96.33161,0,0,0
"9005",46.36986301,13.15068493,39.52054795,24.7260274,16.98630137,0.95890411,43.62560516,37.27810651,11.29639591,25.89041096,20.73469388,67.67594108,33095,7.2,24.2,35.4,34.2,40.5,13.5,32.0924,-96.47095,0,0,0
"9006",51.51873102,11.37360783,39.52075599,34.00269997,9.635504556,1.856226797,51.09355319,34.70743158,9.664491011,29.07526156,11.99382292,71.22011252,50730,7.3,22.1,34.9,34.9,39.1,13.4,32.01426,-96.49577,0,0,0
"9007",50.9627202,7.783695207,26.05489553,42.72839,18.353133966,2.662843097,11.85795815,81.95941661,3.614457831,15.36255633,12.08521098,83.42402679,53685,8.5,20,39.9,40.3,35.7,13.3,31.89136,-96.57524,0,0,0
"9008",41.26984127,8.73015873,24.78632479,29.73137973,28.937728933,2.991452991,1.839550332,84.77261114,12.97904957,23.01587302,16.36141636,77.00636943,40051,11.5,21.1,43.9,41.5,39.4,16.9,31.0632,-93.70482,0,0,0
"9009",45.6172983,6.951871658,28.01674029,33.34108347,19.879097883,4.464078121,3.841971729,59.07937659,35.01268576,16.15903278,12.66586248,86.21648963,44583,8,21.1,40,36.7,39.4,13.3,30.82181,-93.72709,0,0,0
"9010",49.22057677,2.33826968,30.08573655,38.8152767,25.05845674,0.857365549,4.888481515,69.04980141,17.87351054,23.26578332,26.46141855,74.9299159,40618,11,27.5,42.1,38.5,45.1,18.4,30.55208,-93.79585,0,0,0
"9011",52.74971942,8.005985784,20.95024317,40.77815189,19.19191919,0.374111485,2.689634331,95.3762466,0,21.13729892,20.95024317,82.39138793,39875,8.5,23.7,36.4,37.9,38.3,12.7,30.32645,-93.81923,0,0,0
"9012",46.78727386,5.177791641,27.38615097,35.62071117,24.391765437,2.121023082,6.988694758,92.08633094,0.256937307,15.28384279,12.23162004,86.28067967,47500,8.2,16.9,36.8,38.5,33,11.8,32.44825,-100.31131,0,0,0
